Ticker
ABBV
PEP
CSCO
TXN
KO
UPS
PFE
AVGO
VZ
AMGN
HD
MRK
CVX
LMT
BLK
ADP
MO
ITW
EOG
BX
MMM
VLO
USB
F
KMB
NEM
PAYX
FAST
ALL
OKE
TROW
LYB
MTB
DRI
CTRA
FITB
NTRS
K
RF
TSN
AMCR
HBAN
BBY
IPG
SNA
PKG
IP
KEY
PARA
WSO
FNF
RHI
WSM
NRG
UNM
WHR
AAP
FAF
HRB
CMA
HUN
SNV
ZION
WU
LEG
MSM
OZK
LAZ
WEN
JHG
RDN
CRI
CATY
CBRL
IBOC
CVBF
MDC
APAM
BOH
BANR
NWBI
CNS
CHCO
STBA
OFG
FCF
KFRC
AGM
STC
BKE
CWENA
RGR
HFWA
SRCE
PFC
ETD
HAFC
GES
EBF
CPF
MSFT
AAPL
UNH
XOM
JNJ
WMT
JPM
V
PG
MA
ORCL
COST
MCD
ACN
ABT
CMCSA
NEE
NKE
BMY
RTX
PM
QCOM
HON
INTU
UNP
LOW
IBM
SBUX
CAT
ELV
SPGI
MDT
GS
SYK
ADI
AMT
MMC
CB
SO
DUK
TGT
NOC
BDX
CME
ETN
AON
WM
HUM
GD
CL
APD
CSX
EPD
SHW
MCO
KLAC
T
KMI
DOW
SPG
WMB
PNW
WBA
EIX
DLR
O
VICI
BXP
CCI
EQR
C
KHC
D
CLX
PRU
PEAK
EVRG
FRT
FE
ETR
HAS
OMC
PEG
GILD
TFC
GLW
NTAP
OGN
